H000445,Democratic,"Heflin, Howell",Alabama,Senate:1979-1997,0,0
S000320,Republican,"Shelby, Richard C.",Alabama,Senate:1987-2023 House:1979-1987,13,7
M001085,Republican,"Murkowski, Frank H.",Alaska,Senate:1981-2002,10,1
S000888,Republican,"Stevens, Ted",Alaska,Senate:1967-2009,0,0
D000185,Democratic,"DeConcini, Dennis",Arizona,Senate:1977-1995,0,0
M000303,Republican,"McCain, John",Arizona,Senate:1987-2018 House:1983-1987,113,11
B001057,Democratic,"Bumpers, Dale",Arkansas,Senate:1975-1999,10,4
P000556,Democratic,"Pryor, David H.",Arkansas,Senate:1979-1997 House:1965-1973,0,0
C000877,Democratic,"Cranston, Alan",California,Senate:1969-1993,65,8
F000062,Democratic,"Feinstein, Dianne",California,Senate:1992-Present,0,0
S000269,Republican,"Seymour, John",California,Senate:1991-1993,30,9
W000607,Republican,"Wilson, Pete",California,Senate:1983-1993,0,0
W000647,Democratic,"Wirth, Timothy",Colorado,Senate:1987-1993 House:1975-1987,0,0
B000919,Republican,"Brown, Hank",Colorado,Senate:1991-1997 House:1981-1991,17,78
D000388,Democratic,"Dodd, Christopher J.",Connecticut,Senate:1981-2011 House:1975-1981,22,11
L000304,Independent Democrat,"Lieberman, Joseph I.",Connecticut,Senate:1989-2013,30,12
B000444,Democratic,"Biden, Joseph R., Jr.",Delaware,Senate:1973-2009,0,0
R000460,Republican,"Roth Jr., William V.",Delaware,Senate:1969-2001 House:1967-1969,0,0
G000352,Democratic,"Graham, Bob",Florida,Senate:1987-2005,22,4
M000019,Republican,"Mack, Connie, III",Florida,Senate:1989-2001 House:1983-1989,0,0
F000329,Democratic,"Fowler, Wyche, Jr.",Georgia,Senate:1987-1993 House:1977-1987,0,0
N000171,Democratic,"Nunn, Sam",Georgia,Senate:1971-1997,0,0
A000069,Democratic,"Akaka, Daniel K.",Hawaii,Senate:1990-2013 House:1977-1991,36,33
I000025,Democratic,"Inouye, Daniel K.",Hawaii,Senate:1963-2012 House:1959-1963,81,29
C000858,Republican,"Craig, Larry E.",Idaho,Senate:1991-2009 House:1981-1991,5,1
S001138,Republican,"Symms, Steven D.",Idaho,Senate:1981-1993 House:1973-1981,0,0
D000366,Democratic,"Dixon, Alan J.",Illinois,Senate:1981-1993,0,0
S000423,Democratic,"Simon, Paul",Illinois,Senate:1985-1997 House:1975-1985,0,0
C000542,Republican,"Coats, Daniel",Indiana,"Senate:1989-1999,2011-2017 House:1981-1989",13,7
L000504,Republican,"Lugar, Richard G.",Indiana,Senate:1977-2013,9,7
H000206,Democratic,"Harkin, Tom",Iowa,Senate:1985-2015 House:1975-1985,5,3
G000386,Republican,"Grassley, Chuck",Iowa,Senate:1981-Present House:1975-1981,0,0
D000401,Republican,"Dole, Robert J.",Kansas,Senate:1969-1997 House:1961-1969,0,0
K000017,Republican,"Kassebaum, Nancy Landon",Kansas,Senate:1979-1997,13,6
F000268,Democratic,"Ford, Wendell H.",Kentucky,Senate:1975-1999,31,4
